category1,product_count,avg_price,min_price,max_price
تبلت,81,401754123,32000000,1202000000
سازهای الکترونیک,7,281300000,113400000,616000000
حمام آلتراسونیک,21,211444761,310000,872000000
فرش,7236,191117272,192000,8499990000
کنسول خانگی,56,182068587,6054700,370000000
ویلچر,48,119542297,32100000,560000000
گلیم و گبه,1470,100320618,690000,1560000000
سازهای صفحه کلیددار,250,89729849,2900000,1127000000
صندلی خودرو کودک و نوزاد,65,88259769,11500000,329000000
سازهای زهی,523,76306222,660000,997000000
سازهای کوبه‌ای,276,63588473,1930000,900000000
تختخواب کودک و نوزاد,66,62609533,23000000,207000000
مانیتور و پیجر اتاق کودک و نوزاد,40,62414895,6500000,215900000
قالی و قالیچه,400,59615612,1930000,699800000
تابلو فرش,9430,57508745,850000,1660000000
ماساژور,1032,53094944,136000,3430000000
غذاساز و بخارپز کودک و نوزاد,5,51760000,5300000,74500000
تشک مواج,10,48095000,21500000,90000000
زیورآلات طلا زنانه,32902,47474564,2890200,2758000000
سازهای بادی,140,43027974,210800,490000000
تجهیزات استودیویی,1090,42130641,133000,704000000
سلامت محیط,3705,41589579,45000,750000000
کالسکه و کریر,428,40174407,2300000,380000000
حقوق و مدیریت,99,39955818,199000,500000000
صندلی غذاخوری کودک و نوزاد,112,38161928,2300000,168000000
گهواره,76,37253057,5440000,168000000
نمایشگر ضربان قلب,60,33428753,2190000,135000000
لوازم جانبی ساعت تندرستی,6,32150000,21200000,51000000
کلاژ، پوست و فرش رنگ شده,930,31191857,1567500,300000000
اصلاح موی بدن بانوان,284,30825634,194900,350000000
چمدان کودک,54,30754259,4000000,76500000
لوازم جانبی فرش و ابزار فرش,1324,29043911,132000,208505400
اصلاح موی صورت,878,25697361,405000,420000000
لوازم پزشکی,36,25581508,390000,134490000
لوازم سفر,4840,24450357,125000,980000000
اکسسوری مردانه,32336,24279902,140000,7645500000
شیردوش,92,23936618,320000,101500000
عطر و ادکلن مردانه و زنانه,485,21650896,270000,300000000
نرم افزار,1173,21016139,110000,1013300000
تشک و پتوی برقی,95,20608617,2571000,97000000
استریل، گرم و خشک کننده شیشه شیر,33,20045666,1120000,79600000
فشارسنج,262,19283558,320000,420000000
ابزار مراقبت از پوست,407,19235818,128800,1000000000
سشوار,706,19200670,189000,185000000
وسایل بازی و تجهیزات پارکی کودک,1698,18871275,180000,231000000
اصلاح موی سر,599,18718811,197700,181500000
اصلاح موی بدن آقایان,55,18424745,2750000,125800000
تجهیزات سنجش و ارزیابی سلامت بدن,4,17367750,2943000,48870000
دستگاه بخور و رطوبت ساز,412,15234492,730000,160000000
اتو و حالت دهنده ی مو,691,14898796,660000,245000000
عطر و ادکلن زنانه,3074,14885677,500000,210341800
کفش مردانه,14632,14716885,440000,350000000
بیگودی و فر کننده ی مو,213,14302774,885000,68000000
محصولات استخوانی,15,13224666,9500000,23990000
محصولات فلزی,3140,13042299,400000,51150000
عطر و ادکلن مردانه,3491,12909741,500000,190622200
زیورآلات طلا مردانه,3632,12765817,5160000,757372000
لوازم جانبی آلات موسیقی,2300,12566874,110000,364000000
سمعک و لوازم جانبی,17,12535588,250000,65000000
ترازو,354,11880653,310000,590000000
زیورآلات طلا بچگانه,2541,11556690,5057700,253025500
تجهیزات بیمارستانی,1373,11406095,40000,850000000
کفش زنانه,14794,10762192,490000,180000000
ست عطر و ادکلن,124,10535239,1090000,110000000
تب سنج و دماسنج,38,10466805,700000,32000000
اکسسوری زنانه,57510,10386374,100000,2900000000
کنسول پرتابل,36,10223288,810000,111000000
نقاشی و دست‌نوشته‌های هنری,246,10090081,1500000,50000000
مراقبت کودکان,10,9431980,156000,52200000
موکت,53,9347924,1500000,72040000
سوند و کتترهای ادراری,90,8390377,150000,48000000
چادر بازی کودک,121,8005195,3600000,35000000
رومیزی، رانر و زیربشقابی سنتی,41,7662685,380000,55000000
سرویس خواب کودک و نوزاد,661,7575970,400000,48000000
دکوراتیو سنتی,428,7440685,199000,127560000
سازهای افکت,55,7375727,210000,19000000
کالای خواب و استراحت طبی,765,7130088,269000,69000000
کوه‌ نوردی و صخره نوردی,1344,7124060,171000,178000000
