id,title_fa,category1,price,min_price_last_month,discount_percent
10997562,فیلتر دستگاه تصفیه آب آکوا مدل JW-jumbo-PP,سلامت محیط,240000,990000,75.76
3815203,کتاب تاریخ ترسناک 10 سلحشوران سیاه و دژهای دود زده اثر تری دیری نشر افق,کتاب کودک و نوجوان,220000,751400,70.72
3515840,هفت دستگاه و پنج آواز موسیقی ایرانی برای سنتور اثر ارفع اطرایی نشر ماهور,کتاب هنر و سرگرمی,1000000,2786800,64.12
7625162,کیف مجلسی زنانه مدل luxury,اکسسوری زنانه,1290000,3360000,61.61
226321,کتاب سه بار خوش شانسی اثر شیلا ترنیج,کتاب کودک و نوجوان,380000,970000,60.82
10489581,پارچه لباس مدل هستی کد K101-A,دست بافته‌ ها، رودوزی و محصولات پارچه ای و چرمی,350000,890000,60.67
9099216,فرش ماشینی زرباف مدل مراکشی کد 7797 زمینه قهوه ای,فرش,17940000,43700000,58.95
9814632,پارچه لباس مدل لینن کد D100-A,دست بافته‌ ها، رودوزی و محصولات پارچه ای و چرمی,490000,1190000,58.82
1656991,تستر ادو تویلت مردانه داویدف مدل Cool Water حجم 125 میلی لیتر,عطر و ادکلن مردانه,5981100,14200000,57.88
185794,کتاب اقیانوس های هراس آور اثر آنیتا گانری,کتاب کودک و نوجوان,200000,465100,57.0
229985,کتاب سکون سخن می گوید اثر اکهارت تله,کتاب دینی,400000,930000,56.99
4151539,ساعت مچی عقربه ای زنانه الیویا برتِن مدل ob16am151,اکسسوری زنانه,45000000,104120000,56.78
1774541,کتاب موشبان ها شماره یک: گم شده اثر دیوید پیترسن نشر باژ,کتاب شعر و ادبیات,150000,327300,54.17
3097842,ساعت مچی عقربه ای مردانه اسکمی مدل 9083 کد BB,اکسسوری مردانه,5950000,12654800,52.98
519833,تونیک ضد ریزش لافارر مدل colored and damaged Hair حجم 60 میلی لیتر,شامپو و مراقبت مو,670000,1361500,50.79
6250772,ادو پرفیوم مردانه دایرکشن مدل Black Orchid حجم 100 میلی لیتر,عطر و ادکلن مردانه,3900000,7900000,50.63
640590,دستبند چرمینه اسپرت مدل آلمان کد 9002,اکسسوری زنانه,490000,989000,50.46
11044429,عینک آفتابی زنانه مدل پرسینگ دار نگینی ,اکسسوری زنانه,2068300,4150700,50.17
10713048,پارچه لباس مدل آستری طرح رویا کد A,دست بافته‌ ها، رودوزی و محصولات پارچه ای و چرمی,250000,498000,49.8
10713101,پارچه لباس مدل آستری طرح رویا کد B,دست بافته‌ ها، رودوزی و محصولات پارچه ای و چرمی,250000,498000,49.8
10593574,پارچه لباس مدل آستری راه راه کد B,دست بافته‌ ها، رودوزی و محصولات پارچه ای و چرمی,250000,498000,49.8
11674624,پارچه لباس مدل آستری راه راه D,دست بافته‌ ها، رودوزی و محصولات پارچه ای و چرمی,250000,498000,49.8
7692011,تی شرت زنانه کیکی رایکی مدل BB02865-002,لباس زنانه,990000,1960000,49.49
12383256,کتاب زنگ ها و راه ها سرگذشت بازرگانان ایرانی اثر حسین بکایی انتشارات کانون پرورش فکری کودکان و نوجوانان,کتاب کودک و نوجوان,351100,688500,49.01
9870889,کفش مخصوص دویدن مردانه مدل SPEED TESLA BKGRY-109007001,کفش مردانه,9800000,19000000,48.42
10935923,گردنبند دخترانه مدل کلاف و گربه بازیگوش دو ردیفه,دخترانه,882000,1710000,48.42
3628513,کتاب تاریخ ترسناک 11 عصر حجر پرخطر اثر تری دیری نشر افق,کتاب کودک و نوجوان,450000,870000,48.28
9713452,گردنبند زنانه گيلواره زراوشان مدل پاکت نامه آیت الکرسی کد A47,اکسسوری زنانه,650000,1250000,48.0
5756894,"کتاب کمیک بون بشکه پناه اثر جف اسميت
 نشر باژ جلد 5",کتاب شعر و ادبیات,150000,287600,47.84
8668531,تی شرت آستین کوتاه زنانه اسپیور مدل S-3021011,لباس زنانه,990000,1875000,47.2
3770743,کتاب هوش برتر فعالیت هایی برای پرورش هوش هیجانی EQ ویژه 10 تا 12 سال اثر ریحانه رامشگر و سمیه جابری انتشارات یارمانا,کتاب فلسفه و روانشناسی,950000,1796800,47.13
3227669,کتاب هاکلبری فین اثر مارک توین نشر افق,کتاب شعر و ادبیات,350000,658800,46.87
4234662,ساعت مچی عقربه ای زنانه الیویا برتِن مدل OB15EG38,اکسسوری زنانه,55000000,102980000,46.59
1942973,ادو پرفیوم زنانه  مدل Bloom Nettare Di Fiori حجم 100 میلی لیتر,عطر و ادکلن زنانه,17249500,31600000,45.41
4308255,تاپ ورزشی زنانه یونی پرو مدل 812251102-95,لباس زنانه,490000,880000,44.32
3687097,کرم مرطوب کننده اویور مدل Mont Blanc Legend حجم 75 میلی لیتر,مراقبت پوست,290000,518000,44.02
9312211,جامدادی مدل ملوان طرح Voyager کد XML-6112,کیف، کوله و جامدادی,760000,1350000,43.7
8936941,پارچه ملحفه طرح شکوفه کد B100-A,دست بافته‌ ها، رودوزی و محصولات پارچه ای و چرمی,220000,390000,43.59
1421751,ساعت مچی عقربه ای زنانه مایکل کورس مدل mk3836,اکسسوری زنانه و مردانه,79000000,139840000,43.51
12444107,اکشن فیگور نکا مدل جیسون ورهیز طرح Jason Voorhees Part 5 Roy Burns,اسباب بازی,17000000,30000000,43.33
3742681,اکشن فیگور مدل کرش کد 45,اسباب بازی,22400000,39500000,43.29
8653877,تی شرت مردانه اکزاترس مدل I03200111091370133,لباس مردانه,990000,1740000,43.1
1890195,شکم بند بارداری نوید کد 115,ساپورت های طبی,1000000,1757100,43.09
9536711,ست کت و پیراهن دخترانه فیورلا مدل النور,دخترانه,6120000,10710000,42.86
11392030,ساعت مچی عقربه‌ای مردانه لاروس مدل 0917,اکسسوری مردانه,22450000,39063000,42.53
6160763,کفش مخصوص دویدن مردانه مدل PEGASUS SPEED BKFIR-15800893,کفش مردانه,9800000,17000000,42.35
2561352,اکشن فیگور طرح ونوم کد AFV01,اسباب بازی,3749000,6490000,42.23
734911,موزن گوش، ابر و بینی میکروتاچ مدل 025,اصلاح موی گوش، بینی و ابرو,1990000,3441000,42.17
12108564,عینک آفتابی زنانه تروساردی مدل TR12942,اکسسوری زنانه,70000000,120000000,41.67
2207951,اتوسکوپ ریشتر مدل 2101-200,لوازم پزشکی,23350000,40000000,41.63
435541,پشتی طبی لبه دار مدل Nice سایز L,کالای خواب و استراحت طبی,1650000,2820000,41.49
9456628,شیشه شیر پینو بیبی مدل Natural sense کد M 0-6 ظرفیت 150 میلی لیتر,شیشه شیر، سرلاک و داروخوری,499000,849000,41.22
2385289,خمیر اصلاح آرکو من مدل Sensitive حجم 94 میلی لیتر,لوازم اصلاح مو,250000,418800,40.31
8240904,ابزار ایفای نقش مدل نقاب ORGINAL LED 1,اسباب بازی,2990000,5000000,40.2
8479312,کلاه کپ مدل نقابدار کد 017,اکسسوری زنانه و مردانه,585000,975000,40.0
7793665,پیراهن زنانه اسمارا مدل maxi ,لباس زنانه,4500000,7500000,40.0
9072327,گلیم ماشینی طرح افشان کد 0011,گلیم و گبه,1200000,2000000,40.0
12289968,عینک آفتابی مردانه اوگا مدل 2305-NAVYBLUE-YELLOW,اکسسوری مردانه,7080000,11700000,39.49
1678005,چسب محافظ ریشه فرش پارس فوم کد 14-235,لوازم جانبی فرش و ابزار فرش,230400,380000,39.37
9880820,کفش پیاده روی زنانه مدل STRETCH FIT BBND PIN-105024077,کفش زنانه,12800000,21000000,39.05
11524412,ساعت مچی عقربه ای زنانه سوییستار مدل 9570,اکسسوری زنانه,28950000,47478000,39.02
12461971,کنسول بازی مدل DOUBLE-2.4G,کنسول پرتابل,21998000,36000000,38.89
5294463,کیف پول چرما اسپرت کد HBK002,اکسسوری زنانه و مردانه,6980000,11400000,38.77
1135628,کیت ماشین کد 002,اسباب بازی,2470000,4000000,38.25
108413,عصای کوهنوردی اکسپوننت مدل ABD-3-8009,کوه‌ نوردی و صخره نوردی,2645000,4280000,38.2
746277,ماشین بازی مدل کامیون ارتشی ak229,اسباب بازی,1400000,2249000,37.75
12255237,شامپو تقویت کننده مو تینولا بیوتی مدل 03 حجم 220 میلی لیتر,شامپو و مراقبت مو,1070000,1718200,37.73
4009087,کتاب شب امتحان انگلیسی هشتم اثر علی یگانه انتشارات خیلی سبز,کتاب درسی، کمک‌درسی و آزمون,350000,560500,37.56
11390111,عینک آفتابی مردانه لاگوست مدل 18155,اکسسوری مردانه,8945000,14312000,37.5
