category1,product_count,avg_price,price_stddev,coeff_of_variation
لوازم جانبی کنسول بازی,5688,3348829,25166584.235949907,7.52
لوازم کمپینگ,13295,5419442,33388549.052090097,6.16
بهداشت و زیبایی ناخن,12155,923189,4578764.253668266,4.96
تجهیزات بیمارستانی,1373,11406095,56265025.35762328,4.93
ماساژور,1032,53094944,223375543.17925265,4.21
تست خانگی,72,1482020,5974224.566146051,4.03
برس‌ها و تجهیزات آرایشی,15868,1353800,4941181.932052466,3.65
نرم افزار,1173,21016139,74115167.47140844,3.53
ابزار مراقبت از پوست,407,19235818,63398693.3194786,3.3
اکسسوری زنانه و مردانه,52643,6158912,19633505.103833314,3.19
اکسسوری مردانه,32336,24279902,73862905.0486036,3.04
بهداشت دهان و دندان,2952,3805090,11523518.849727402,3.03
اکسسوری زنانه,57510,10386374,30921036.208961934,2.98
زیورآلات طلا مردانه,3632,12765817,35300632.163241446,2.77
ترازو,354,11880653,32479124.4374628,2.73
فرهنگ، هنر و فلسفه,96,3511489,9524078.707200134,2.71
ابزار ایمنی کودک و نوزاد,503,3853025,9941838.270061353,2.58
ابزار توانمند سازی,244,6314970,15731918.130802944,2.49
بازی های کنسول خانگی,759,2737182,6725655.368003341,2.46
اسباب بازی,42631,4517937,11066472.157680165,2.45
اکسسوری و زیورآلات دست ساز,511,4950100,11967923.318534134,2.42
سازهای صفحه کلیددار,250,89729849,216042869.973432,2.41
لوازم ماهیگیری,975,5075340,12188012.994524753,2.4
لوازم اصلاح مو,2443,2278972,5233354.22222489,2.3
تابلو فرش,9430,57508745,130928828.13794969,2.28
مکمل تجهیزات پزشکی,560,5490015,12446581.93235768,2.27
خواب و حمام,55,7041649,15899084.3867847,2.26
لوازم جانبی آلات موسیقی,2300,12566874,28167079.84888611,2.24
فرش,7236,191117272,422189561.58961993,2.21
ابزار دستی,339,4806078,10471169.230472341,2.18
کتاب تاریخ و جغرافیا,2667,1958077,4102468.0081837205,2.1
قالی و قالیچه,400,59615612,124311315.47194518,2.09
یادآور و نگهدارنده قرص و دارو,103,904010,1884650.4189763078,2.08
کتاب دینی,4088,1967151,4068125.829521062,2.07
تجهیزات استودیویی,1090,42130641,85830793.80954464,2.04
لوازم سفر,4840,24450357,49295312.76224932,2.02
کفش زنانه و مردانه,3305,6642001,13299455.172744976,2.0
پد و کیسه آب گرم,448,1738989,3476020.5418890766,2.0
مواد غذایی,14313,2582719,5129489.537839409,1.99
تجهیزات دندانپزشکی,348,4583119,8957118.654337266,1.95
کنسول پرتابل,36,10223288,19799250.65405655,1.94
مراقبت پوست,11121,3466929,6684547.899407007,1.93
کتاب علوم کاربردی، تکنولوژی و مهندسی,4369,1836261,3507714.8953260253,1.91
شامپو و مراقبت مو,7441,3161233,5834395.833114537,1.85
کتاب زندگینامه و دایره المعارف,2127,1199666,2208107.3871498005,1.84
حقوق و مدیریت,99,39955818,72970226.8508224,1.83
چسب و پد درمانی,564,1477796,2690712.542117248,1.82
سوند و کتترهای ادراری,90,8390377,15197799.488540525,1.81
محصولات سنگی، چینی و سرامیکی,13561,1199685,2160367.895816473,1.8
دکوراتیو سنتی,428,7440685,13380453.38942811,1.8
کوه‌ نوردی و صخره نوردی,1344,7124060,12846061.842199165,1.8
زیورآلات طلا زنانه,32902,47474564,84899387.05618447,1.79
آرایش لب,4752,2527333,4511522.63218382,1.79
ست عطر و ادکلن,124,10535239,18617994.948212814,1.77
سمعک و لوازم جانبی,17,12535588,22073279.935984887,1.76
اصلاح موی صورت,878,25697361,44663151.837096885,1.74
آرایش چشم,3261,3532074,6150896.741117054,1.74
وسایل بازی و تجهیزات پارکی کودک,1698,18871275,32715345.232298423,1.73
آرایش ابرو,929,1682201,2859724.972571144,1.7
بهداشت و مراقبت بدن,3503,1875713,3192027.830232244,1.7
دست سازه های هنری,15226,5251131,8860061.247042067,1.69
مراقبت کودکان,10,9431980,15889729.622327331,1.68
حمام کودک و شست و شو,2163,4257476,7166191.603812175,1.68
تزریقات,44,6280054,10455582.007922728,1.66
لباس مردانه,55968,4822619,7967321.8176936265,1.65
آرایش مو,13673,1247345,2039681.371166775,1.64
سازهای بادی,140,43027974,70422041.31345432,1.64
اصلاح موی بدن بانوان,284,30825634,50035777.23037143,1.62
عطر و ادکلن مردانه و زنانه,485,21650896,34411420.70715722,1.59
کتاب شعر و ادبیات,20340,1287223,2050800.4255220962,1.59
مجلات,1367,1790767,2804482.3579739733,1.57
عطر و ادکلن مردانه,3491,12909741,19555328.492531307,1.51
فشارسنج,262,19283558,28856668.121211853,1.5
محصولات چوبی و حصیری,10878,3233318,4843836.930515597,1.5
بهداشت زنان,874,1209837,1818536.791454741,1.5
عطر و ادکلن زنانه,3074,14885677,22376043.069744527,1.5
