category1,product_count,avg_rate,avg_rate_count
لوازم تم عکاسی کودک,13,86.3076923076923,11
تست قند خون,31,80.0,224
آموزش عکاسی و فیلم‌برداری,12,78.83333333333333,6
فیلم سینمایی,74,77.67567567567568,7
بهداشت و نگهداری کودک,116,77.60344827586206,52
آبسلانگ,30,75.33333333333333,38
کتاب زبان,2561,74.52167122217884,28
یادآور و نگهدارنده قرص و دارو,103,73.74757281553399,104
بهداشت زنان,875,72.16914285714286,260
تب سنج و دماسنج,38,71.15789473684211,42
تست خانگی,72,71.13888888888889,83
کنسرت,38,70.6842105263158,6
لوازم جانبی تست قند خون,85,68.94117647058823,91
چرخ خیاطی دستی و ملزومات خیاطی,339,68.72566371681415,186
عطر و ادکلن کودکان,123,68.3739837398374,20
کنسول خانگی,56,68.28571428571429,68
زیراندازهای طبی و پزشکی,102,68.15686274509804,120
تشک مواج,10,67.6,46
کتاب فلسفه و روانشناسی,8921,67.37876919627844,37
سریال,258,66.46511627906976,11
اصلاح موی بدن آقایان,55,66.21818181818182,174
صابون شستشو,1174,66.16695059625214,122
بهداشت جنسی,1200,66.115,252
فشارسنج,262,65.40458015267176,102
کتاب صوتی,113,65.15044247787611,6
پویا نمایی (انیمیشن),380,64.42631578947369,7
پشه بند,55,64.36363636363636,27
سازهای بادی,140,63.98571428571429,32
کتاب کودک و نوجوان,14495,63.854432562952745,15
آموزش موسیقی,136,63.8235294117647,9
اصلاح موی گوش، بینی و ابرو,140,63.65714285714286,137
بهداشت دهان و دندان,2953,63.63020656959025,138
لوازم اصلاح مو,2444,63.164484451718494,146
بازی های کنسول خانگی,760,62.502631578947366,18
تبلت,81,62.22222222222222,117
کتاب هنر و سرگرمی,4861,61.9428101213742,11
بهداشت و مراقبت بدن,3503,61.55580930630888,126
مراقبت پوست,11125,61.3918202247191,134
شامپو و مراقبت مو,7448,61.163802363050486,97
ماسک و لوازم جانبی ماسک,376,60.361702127659576,247
اصلاح موی بدن بانوان,284,60.32394366197183,67
آموزش زبان,154,60.23376623376623,19
حمام آلتراسونیک,21,59.904761904761905,7
کتاب تاریخ و جغرافیا,2667,59.46381702287214,10
کتاب شعر و ادبیات,20343,59.155385144767244,17
اسپری,2097,59.09012875536481,71
آرایش ابرو,930,59.075268817204304,68
چسب و پد درمانی,564,58.755319148936174,150
آرایش مو,13675,58.443729433272395,24
بازی های کامپیوتری,768,58.203125,18
ابزار مراقبت از پوست,408,58.11764705882353,220
لوازم تعویض,1527,58.064178127046496,106
اصلاح موی صورت,879,57.95221843003413,107
سمعک و لوازم جانبی,17,57.88235294117647,19
دستگاه بخور و رطوبت ساز,412,57.567961165048544,67
ملزومات شیشه شیر,193,57.37823834196891,35
نوشت افزار,10386,57.27845176198729,80
موکت,53,57.0188679245283,17
لوازم جانبی گردش و سفر کودک و نوزاد,52,56.84615384615385,12
کتاب علوم اجتماعی,6526,56.47839411584432,14
کتاب زندگینامه و دایره المعارف,2129,56.15124471582903,10
ابزار توانمند سازی,244,55.97540983606557,10
اتو و حالت دهنده ی مو,691,55.9479015918958,73
مراقبت کودکان,10,55.8,151
شیشه شیر، سرلاک و داروخوری,537,55.62011173184357,29
سشوار,706,55.5042492917847,56
اصلاح موی سر,599,55.4457429048414,114
کوه‌ نوردی و صخره نوردی,1348,55.27151335311573,75
موسیقی با کلام,1137,55.14160070360598,4
کتاب درسی، کمک‌درسی و آزمون,5291,54.512190512190514,11
ابزار مراقبت پا,1324,54.48942598187311,28
لوازم جانبی آلات موسیقی,2300,54.21217391304348,24
عطر و ادکلن مردانه,3491,53.62761386422228,39
ابزار ایمنی کودک و نوزاد,503,53.43141153081511,33
دستکش‌های طبی,219,53.1689497716895,22
عطر جیبی,3397,53.00500441566088,39
بیگودی و فر کننده ی مو,213,52.61971830985915,39
ماساژور,1032,52.51937984496124,85
لبنیات سنتی,150,52.46666666666667,10
نمایشگر ضربان قلب,60,52.233333333333334,29
محافظ و پد سینه,80,52.2,16
ضد تعریق,1820,51.745054945054946,118
صندلی غذاخوری کودک و نوزاد,112,51.69642857142857,11
کالای خواب و استراحت طبی,765,51.54509803921569,28
ورزش و سرگرمی,58,51.241379310344826,7
تشک و پتوی برقی,95,51.2,16
سالنامه,455,51.11648351648352,13
تجهیزات استودیویی,1090,51.05321100917431,18
تجهیزات بیمارستانی,1373,49.898033503277496,23
باند و گاز,315,49.77777777777778,27
ترشیجات و شور خانگی,295,49.59322033898305,5
موسیقی بی‌کلام,872,49.21559633027523,1
روفرشی و پشتی,451,48.82039911308204,12
عطر و ادکلن زنانه,3074,48.79570592062459,25
وسایل بازی و تجهیزات پارکی کودک,1699,47.798705120659214,26
آرایش صورت,4282,47.721158337225596,37
ترازو,354,47.610169491525426,74
مکمل تجهیزات پزشکی,561,47.58645276292335,41
تجهیزات دندانپزشکی,348,47.31609195402299,3
صندلی خودرو کودک و نوزاد,65,46.646153846153844,63
گهواره,76,46.39473684210526,17
ابزار نقاشی و رنگ آمیزی,6689,46.121692330692184,29
حمام کودک و شست و شو,2164,45.93253234750462,35
ویلچر,48,45.625,6
آرایش چشم,3261,45.609935602575895,69
لوازم اداری,7129,45.408893252910644,56
قاشق، چنگال و ظروف کودک و نوزاد,1538,45.340702210663196,8
لوازم ماهیگیری,976,45.27663934426229,9
ساپورت های طبی,2030,45.16256157635468,16
کفش زنانه و مردانه,3305,44.62632375189107,27
فرهنگ، هنر و فلسفه,96,44.604166666666664,4
کتاب علوم کاربردی، تکنولوژی و مهندسی,4369,44.336919203479056,4
کتاب دینی,4095,44.10891330891331,5
تشک کودک و نوزاد,124,43.96774193548387,8
ابزار دستی,339,43.882005899705014,21
بسته های لوازم تحریر,469,43.71002132196162,27
چادر بازی کودک,121,43.6198347107438,11
ساک لوازم کودک و نوزاد,445,43.55505617977528,9
بادی اسپلش,1378,43.301886792452834,40
آرایش لب,4752,43.198232323232325,40
بهداشت و سلامت کودک,567,43.195767195767196,17
پستانک و ملزومات,543,42.60405156537753,23
ست عطر و ادکلن,124,41.61290322580645,3
کنسول پرتابل,36,41.611111111111114,65
استریل، گرم و خشک کننده شیشه شیر,33,41.27272727272727,7
شیردوش,92,41.08695652173913,12
سلامت محیط,3705,40.9085020242915,23
آلبوم عکس,21,40.76190476190476,61
لوازم پزشکی,36,40.55555555555556,3
مستند,46,40.26086956521739,3
البسه طبی و پزشکی,342,40.1812865497076,7
کمک آموزشی تحصیلی,346,39.19653179190752,6
پد و کیسه آب گرم,448,38.830357142857146,53
آموزش نرم‌افزار و کامپیوتر,936,38.62820512820513,4
تزئینات اتاق کودک,1649,38.4232868405094,5
بهداشت و زیبایی ناخن,12157,38.20893312494859,28
عطر و ادکلن مردانه و زنانه,485,37.63711340206186,12
سرویس خواب کودک و نوزاد,662,37.30815709969789,7
سازهای صفحه کلیددار,250,37.2,7
کیک و شیرینی خانگی,490,37.12244897959184,4
کالسکه و کریر,429,37.10955710955711,3
حقوق و مدیریت,99,37.01010101010101,1
سازهای زهی,523,36.44741873804971,9
لوازم آشپزخانه سنتی,172,36.372093023255815,2
خوار و بار محلی,411,35.68369829683698,6
ورزش های هوازی و تناسب اندام,1151,35.6611642050391,22
تختخواب کودک و نوزاد,66,35.57575757575758,4
پتو کودک و نوزاد,238,35.30252100840336,21
کفش مردانه,14633,35.22572268161006,15
مجلات,1367,34.97147037307974,2
اسباب بازی,42645,34.73054285379294,20
لوازم سفر,4853,34.43066144652792,17
ابزار طراحی و مهندسی,1885,33.00477453580902,19
کفش زنانه,14795,32.71443055086178,6
تزریقات,44,32.27272727272727,3
اکسسوری ورزشی,1806,31.93798449612403,13
نرم افزار,1173,31.911338448422846,9
سازهای افکت,55,31.563636363636363,6
برس‌ها و تجهیزات آرایشی,15872,31.029107862903224,55
لوازم جانبی کنسول بازی,5689,30.986465108103356,9
ابزار کار هنری و دستی,1688,30.927725118483412,7
صبحانه محلی,869,29.489067894131185,2
لوازم کمپینگ,13304,29.414010823812387,22
سازهای کوبه‌ای,276,28.115942028985508,2
قمقمه و فلاسک کودک و نوزاد,617,27.416531604538086,8
دفتر و کاغذ و مقوا,30065,27.096424413770166,14
سوند و کتترهای ادراری,90,26.355555555555554,0
لباس مردانه,55970,26.235554761479364,10
ملحفه کودک و نوزاد,27,25.555555555555557,0
پسرانه,21136,25.273845571536715,3
بالش شیردهی,193,25.181347150259068,3
مواد غذایی,14314,25.123655162777702,2
نوزاد,15448,24.786250647332988,5
اکسسوری زنانه و مردانه,52644,24.373261910189196,8
آویز تخت کودک,395,23.696202531645568,1
لباس زنانه,77928,23.450364438969306,6
کیف، کوله و جامدادی,5407,23.272794525614945,6
دخترانه,35260,23.059103800340328,4
لباس سنتی و محلی,92,22.76086956521739,1
آغوشی,79,22.303797468354432,6
اکسسوری مردانه,32337,22.161672387667377,5
ملزومات هدیه,10171,22.130370661685184,3
مد و پوشاک دخترانه و پسرانه,13219,21.505408881155912,2
مانیتور و پیجر اتاق کودک و نوزاد,40,21.15,8
پانسمان عمومی,16,20.875,1
تنقلات خانگی,1035,20.20096618357488,2
اکسسوری زنانه,57514,19.521020968807594,5
ظروف سنتی,424,17.55188679245283,1
دست بافته‌ ها، رودوزی و محصولات پارچه ای و چرمی,14768,16.78832611050921,1
چمدان کودک,54,16.11111111111111,0
محصولات فلزی,3142,15.829408020369192,1
محصولات سنگی، چینی و سرامیکی,13562,15.553605662881582,0
دست سازه های هنری,15228,14.708957184134489,2
رومیزی، رانر و زیربشقابی سنتی,41,14.585365853658537,0
دکوراتیو سنتی,428,14.429906542056075,0
کوسن کودک,849,14.162544169611307,0
فرش,7236,14.160309563294637,2
اکسسوری و زیورآلات دست ساز,511,13.193737769080235,0
لوازم جانبی فرش و ابزار فرش,1324,12.972809667673715,13
چاپ های سنتی,95,12.273684210526316,0
لوازم جانبی ساعت و مچ بند هوشمند,9312,11.302620274914089,3
غیر خوراکی,454,11.07488986784141,0
کتاب چاپی غیر فارسی,31792,10.682939104177152,1
گلیم و گبه,1470,8.682993197278911,1
زیورآلات طلا زنانه,32903,8.34525727137343,0
محصولات چوبی و حصیری,10878,6.7266041551755835,0
تابلو فرش,9430,6.146977730646872,0
بالش کودک و نوزاد,1087,4.476540938362466,0
زیورآلات طلا مردانه,3632,3.3507709251101323,0
خواب و حمام,55,3.272727272727273,0
زیورآلات طلا بچگانه,2541,2.69185360094451,0
قالی و قالیچه,400,1.15,0
نقاشی و دست‌نوشته‌های هنری,246,0.4065040650406504,0
کلاژ، پوست و فرش رنگ شده,930,0.24516129032258063,0
محصولات استخوانی,15,0.0,0
