category1,total_products,high_rated_count,high_rated_percent
آموزش عکاسی و فیلم‌برداری,12,12,100.0
لوازم تم عکاسی کودک,13,13,100.0
تست قند خون,31,30,96.77
آبسلانگ,30,29,96.67
فیلم سینمایی,74,70,94.59
بهداشت و نگهداری کودک,116,108,93.1
یادآور و نگهدارنده قرص و دارو,103,95,92.23
تشک مواج,10,9,90.0
تب سنج و دماسنج,38,34,89.47
آموزش موسیقی,136,121,88.97
کنسول خانگی,56,49,87.5
تست خانگی,72,62,86.11
بهداشت زنان,875,747,85.37
کتاب زبان,2561,2184,85.28
چرخ خیاطی دستی و ملزومات خیاطی,339,288,84.96
اصلاح موی گوش، بینی و ابرو,140,118,84.29
زیراندازهای طبی و پزشکی,102,85,83.33
عطر و ادکلن کودکان,123,102,82.93
بهداشت جنسی,1200,995,82.92
بازی های کنسول خانگی,760,625,82.24
پویا نمایی (انیمیشن),380,312,82.11
اصلاح موی بدن آقایان,55,45,81.82
آموزش زبان,154,126,81.82
کنسرت,38,31,81.58
سازهای بادی,140,114,81.43
فشارسنج,262,213,81.3
لوازم جانبی تست قند خون,85,69,81.18
بازی های کامپیوتری,768,620,80.73
صابون شستشو,1174,941,80.15
مراقبت کودکان,10,8,80.0
بهداشت دهان و دندان,2953,2356,79.78
لوازم اصلاح مو,2444,1949,79.75
سریال,258,205,79.46
ورزش و سرگرمی,58,46,79.31
کتاب صوتی,113,89,78.76
اصلاح موی بدن بانوان,284,220,77.46
کتاب فلسفه و روانشناسی,8921,6909,77.45
دستگاه بخور و رطوبت ساز,412,316,76.7
آرایش ابرو,930,712,76.56
سمعک و لوازم جانبی,17,13,76.47
پشه بند,55,42,76.36
ابزار مراقبت از پوست,408,309,75.74
شامپو و مراقبت مو,7448,5634,75.64
اصلاح موی صورت,879,664,75.54
مراقبت پوست,11125,8352,75.07
بهداشت و مراقبت بدن,3503,2619,74.76
عطر و ادکلن مردانه,3491,2586,74.08
اصلاح موی سر,599,442,73.79
اسپری,2097,1547,73.77
موکت,53,39,73.58
ماسک و لوازم جانبی ماسک,376,276,73.4
کتاب کودک و نوجوان,14495,10579,72.98
ابزار توانمند سازی,244,178,72.95
تبلت,81,59,72.84
چسب و پد درمانی,564,410,72.7
کتاب هنر و سرگرمی,4861,3529,72.6
ابزار مراقبت پا,1324,960,72.51
کوه‌ نوردی و صخره نوردی,1348,966,71.66
آرایش مو,13675,9782,71.53
ملزومات شیشه شیر,193,138,71.5
حمام آلتراسونیک,21,15,71.43
ابزار ایمنی کودک و نوزاد,503,359,71.37
اتو و حالت دهنده ی مو,691,493,71.35
سشوار,706,501,70.96
لوازم جانبی آلات موسیقی,2300,1630,70.87
لوازم تعویض,1527,1075,70.4
نمایشگر ضربان قلب,60,42,70.0
عطر جیبی,3397,2368,69.71
تشک و پتوی برقی,95,66,69.47
لوازم جانبی گردش و سفر کودک و نوزاد,52,36,69.23
نوشت افزار,10386,7190,69.23
کتاب تاریخ و جغرافیا,2667,1845,69.18
محافظ و پد سینه,80,55,68.75
ماساژور,1032,709,68.7
کتاب شعر و ادبیات,20343,13844,68.05
لبنیات سنتی,150,102,68.0
کالای خواب و استراحت طبی,765,518,67.71
شیشه شیر، سرلاک و داروخوری,537,361,67.23
موسیقی با کلام,1137,763,67.11
بیگودی و فر کننده ی مو,213,141,66.2
صندلی غذاخوری کودک و نوزاد,112,74,66.07
ضد تعریق,1820,1198,65.82
کتاب علوم اجتماعی,6526,4269,65.42
تجهیزات استودیویی,1090,712,65.32
عطر و ادکلن زنانه,3074,1987,64.64
کتاب زندگینامه و دایره المعارف,2129,1367,64.21
دستکش‌های طبی,219,140,63.93
کنسول پرتابل,36,23,63.89
تجهیزات بیمارستانی,1373,873,63.58
سالنامه,455,288,63.3
کتاب درسی، کمک‌درسی و آزمون,5291,3306,62.48
روفرشی و پشتی,451,280,62.08
باند و گاز,315,195,61.9
گهواره,76,47,61.84
وسایل بازی و تجهیزات پارکی کودک,1699,1046,61.57
فرهنگ، هنر و فلسفه,96,59,61.46
ترشیجات و شور خانگی,295,181,61.36
آرایش صورت,4282,2624,61.28
موسیقی بی‌کلام,872,529,60.67
ساپورت های طبی,2030,1227,60.44
ویلچر,48,29,60.42
مکمل تجهیزات پزشکی,561,338,60.25
آرایش چشم,3261,1944,59.61
ترازو,354,211,59.6
تجهیزات دندانپزشکی,348,207,59.48
لوازم ماهیگیری,976,568,58.2
کفش زنانه و مردانه,3305,1918,58.03
صندلی خودرو کودک و نوزاد,65,37,56.92
قاشق، چنگال و ظروف کودک و نوزاد,1538,875,56.89
حمام کودک و شست و شو,2164,1230,56.84
لوازم اداری,7129,4044,56.73
