product_id,total_likes,total_dislikes,like_dislike_ratio,comment_count
2069857,1035,1,1035.0,200
892017,1303,2,651.5,200
4457745,325,1,325.0,109
9677992,299,1,299.0,19
763453,282,1,282.0,49
7439223,277,1,277.0,93
797887,245,1,245.0,56
6250985,244,1,244.0,61
2171052,241,1,241.0,177
4896251,235,1,235.0,64
4234328,466,2,233.0,95
1082009,231,1,231.0,162
8045072,229,1,229.0,103
4947988,229,1,229.0,38
8838757,228,1,228.0,42
3864605,228,1,228.0,179
6767398,222,1,222.0,45
3558628,220,1,220.0,80
5215215,212,1,212.0,200
7442923,210,1,210.0,65
