seller,product_count,avg_rate,total_reviews
انتشارات مهر پاینده,20,90.6,376
فروشگاه نبض کتاب,59,89.69491525423729,3147
حامی بوک,21,89.23809523809524,13604
کتاب شمشاد,20,88.9,2010
صحافی و بسته بندی آرتیم,29,88.75862068965517,808
کتابفروشی زندگی,27,88.5925925925926,3823
إی ام ,21,88.28571428571429,162
 مهرسا    ,40,87.15,743
پاوین ساکس,53,87.13207547169812,3067
گروه هنری زندگی,24,87.0,721
انتشارات پی بوک,126,86.98412698412699,41609
هستی نیل,138,86.3913043478261,3018
پائیزان,22,86.18181818181819,3287
برگزیده برتر,23,85.82608695652173,15038
سایروس بوک,28,85.71428571428571,1883
بادخان,204,85.34313725490196,27895
مهرتاب ویژن,23,85.30434782608695,4271
کالای نادر,24,85.25,1333
طبیعت شاپ,24,85.25,23029
تولیدی بازرگانی کارن,47,85.06382978723404,46911
هاریکامزون,21,84.85714285714286,164
لنتر,28,84.71428571428571,3442
اینجا همچی گلچینه,34,84.41176470588235,261
پخش روشنا,23,84.17391304347827,13222
هایپر جهان تحریر ,35,84.17142857142858,9605
ژولی شاپ,110,84.16363636363636,5351
اسپست,21,84.0952380952381,4614
فنیلوکس,34,84.05882352941177,6631
پایار تجارت,88,83.97727272727273,56593
چیک کالا,20,83.8,3161
انتشارات زرین و سیمین,48,83.79166666666667,500
سنتربیوتی,22,83.63636363636364,10995
نوین تجارت رادناس,23,83.47826086956522,621
سانگبوکلیمی,36,83.44444444444444,17892
وان کالا,103,83.37864077669903,92742
مریخ ایرانیان کیش,228,83.29824561403508,15878
سیبا بوک,415,83.20481927710843,22564
گلستان استور,43,83.16279069767442,43077
وستا بوک,219,83.1324200913242,39501
لوازم التحریر مبین,23,83.1304347826087,14156
سبز آلود,22,83.0909090909091,1306
قلم دون,26,83.07692307692308,4720
کوبوک استور,42,83.04761904761905,727
فارغی,25,83.04,6085
زودبوک,40,82.95,1571
مرکز پخش سانترال,20,82.9,7769
پزشکی اکسیژن,58,82.86206896551724,29372
جانبی پخش دیجیتال,57,82.84210526315789,11049
تولیدی ایران زمین,20,82.7,36688
ترمه خاتم,21,82.66666666666667,273
تیکال,31,82.64516129032258,1440
طراوت آفرین,23,82.6086956521739,937
تنگ تکاب,20,82.6,7421
فارم لند,174,82.59770114942529,92499
رایکا برازش,55,82.54545454545455,19089
رزا بیوتی,24,82.5,257
اوریگامی,206,82.48543689320388,46567
رامش کالا,34,82.47058823529412,24350
انتشارات پنج خط,40,82.4,338
عمده پلاس,23,82.34782608695652,22663
فرداد شاپ,26,82.07692307692308,2022
کتاب آرش,29,82.06896551724138,371
ژوبلین رژ,117,82.03418803418803,33290
میم کاف,49,82.0,360
نشر شفاف,39,81.94871794871794,1486
کایلابیوتی,50,81.92,3017
انار آبی,21,81.9047619047619,385
آیرین پلاست,108,81.79629629629629,66174
باخک,29,81.79310344827586,14620
محصولات گیاهی قانون,64,81.75,9137
اورکوکتل,41,81.60975609756098,5541
پیشگامان تحریر,30,81.46666666666667,15844
گلدن مولد,57,81.40350877192982,740
مجموعه واریوس,20,81.4,92
مرکز پخش پایتخت,27,81.33333333333333,1940
سینوهه,23,81.21739130434783,6491
شکوه زیبایی,22,81.18181818181819,4153
روبو بیوتی,139,81.06474820143885,30714
افق تهران,52,81.0,4943
خورشید استار,248,80.99193548387096,28648
داروخانه اکسپرس,29,80.96551724137932,17660
پلتفرم سکو,30,80.93333333333334,589
توسعه خیلی سبز,62,80.87096774193549,1747
گارمنتز,72,80.80555555555556,37406
آباکیس,164,80.71951219512195,3659
تحریر حسن,43,80.69767441860465,8809
بازی شاپینگ,31,80.58064516129032,6484
ره اورد,138,80.57971014492753,10282
فیلو باکس,87,80.55172413793103,4570
ارزانکده تهرانی,24,80.5,8838
گیاهبان,124,80.46774193548387,3008
فروشگاه سیبچه,23,80.43478260869566,5422
کتاب تازه,34,80.41176470588235,4772
پویاکالا,20,80.4,7441
سام بیوتیک سنتر,21,80.38095238095238,5811
نیکاد,54,80.37037037037037,2280
نمد ساز,23,80.34782608695652,5808
در دونه,58,80.24137931034483,1148
بقا در طبیعت,36,80.22222222222223,1177
دلی تراریوم,66,80.18181818181819,5422
مشهد بیوتی,30,80.13333333333334,13390
برگزیده یاس,36,80.11111111111111,46870
فروشگاه سترگ,20,80.1,786
چهره کده,33,80.06060606060606,2526
مای کیدز,90,80.04444444444445,2356
رسپی نانو ریما,47,80.04255319148936,751
گروه کیهان,100,80.0,21525
اسکن سنتر,36,80.0,2531
ووروجک,32,80.0,3186
توسعه کتاب,62,79.96774193548387,745
بالهای کاغذی,75,79.84,6488
پایتی جامه,36,79.83333333333333,226
انتشارات راهنمای سفر,188,79.81914893617021,2581
ایران الفا,37,79.78378378378379,4512
کتاب پارسی,68,79.76470588235294,1022
آلارز کازمتیک,22,79.72727272727273,2245
پخش بینود,27,79.70370370370371,1753
آرکا تجارت بیستون آراد,31,79.6774193548387,1024
قاصدک بهار,142,79.61971830985915,3631
مشکات بیوتی شاپ,98,79.53061224489795,53753
سرای جاوید,153,79.47712418300654,928
ماشینک,30,79.46666666666667,262
برایت مون,22,79.45454545454545,516
 راسل مارکت,46,79.43478260869566,11797
چاپ هزاردستان,77,79.42857142857143,2642
دودل,32,79.375,1763
وی کر,41,79.36585365853658,4105
جوراب باپوک,46,79.21739130434783,1044
گلچینه,34,79.17647058823529,2302
یانگ شاپ,80,79.125,4326
نیوان کالا,45,79.02222222222223,1676
روزکتاب,53,79.01886792452831,2930
دزیره مال,445,79.01573033707865,73055
شونیا,30,78.93333333333334,20987
تجارت سی و سه پل,59,78.8135593220339,10638
میسانا,36,78.77777777777777,13906
کی اس کالکشن,21,78.76190476190476,3723
روتا,30,78.73333333333333,468
 رژا ,54,78.70370370370371,3687
لاپیز کالا,67,78.65671641791045,14438
دل اویز,34,78.6470588235294,1390
امیر پاسارگاد,27,78.5925925925926,519
یونی هوم,28,78.57142857142857,12779
 کوکوجم,28,78.57142857142857,582
آوانگاه,25,78.56,336
باینت,273,78.55677655677655,24222
