seller,total_products,fake_count,fake_percent
بهین تک,25,25,100.0
پوشاک ورسا,40,40,100.0
ترندیست,52,52,100.0
دارا اسپرت,20,20,100.0
سایا ورزشی,58,58,100.0
دلفی کاستوم,98,98,100.0
باماجامه,107,106,99.07
غزالی اسپرت,84,82,97.62
تام اسپرت,5018,4883,97.31
کاردینال پلاس,73,71,97.26
ساعت چکاوک,28,27,96.43
پوشاک فارس,28,27,96.43
روکش صندلی سوشیانت,28,27,96.43
تایم گالری,25,24,96.0
ویهان اسپورت,23,22,95.65
سی لگ,44,42,95.45
کتونی سن سیرو,21,20,95.24
ست لاورز,21,20,95.24
سوما اسپرت,83,79,95.18
ساعت زرین,20,19,95.0
کفش اورجینال ورزشی,39,37,94.87
الماس,424,402,94.81
برند شو,243,230,94.65
بازرگانی برند اسپرت ,606,573,94.55
مدیوار,33,31,93.94
کتانی آرژانتین,44,41,93.18
دات شاپ,612,566,92.48
یونیک پرو,53,49,92.45
اسپورتیج پلاس,26,24,92.31
کتونی پوشان,44,40,90.91
هوشمند آرشان,21,19,90.48
فورشاپ بوشهر,63,57,90.48
لند اسپرت,21,19,90.48
فیشن استار,21,19,90.48
کرون شاپ,51,46,90.2
فروشگاه مدرن اسپرت,20,18,90.0
آی تک فهیمی,20,18,90.0
هیواد نو,29,26,89.66
ویرستایل,93,83,89.25
کیف سازان,214,191,89.25
تهران اسپورت,650,577,88.77
کفش کهکشان ,25,22,88.0
ساکاها,25,22,88.0
وزین اسپرت,33,29,87.88
جی دی,316,277,87.66
میک رویال,140,122,87.14
ایلا اسپرت,694,602,86.74
بای کالا,73,63,86.3
گالری ورزشی حسام,79,68,86.08
آس شاپ,319,272,85.27
مد و پوشاک رحیمی,33,28,84.85
فروشگاه کتونی پیک اسپرت,45,38,84.44
 کالکشن دندی,100,84,84.0
نیو اسپورت شاپ,123,103,83.74
مارکی,100,83,83.0
ویژن فیت,291,241,82.82
ورزشی مایکت,80,66,82.5
زیرتن پوش,62,51,82.26
عینک مجیدی,27,22,81.48
اسپرت,644,517,80.28
فروشگاه کفش پاشیک,162,130,80.25
رها اسپرت,229,183,79.91
رویال اسپورت,53,42,79.25
آوا کفش,38,30,78.95
پوشاک وستا,28,22,78.57
کی مد استایل,192,150,78.13
اسپورتاپ,32,25,78.13
گالری برزگر,28,21,75.0
آسیامال,98,73,74.49
دربی اسپرت,31,23,74.19
شاین واچ,114,84,73.68
کفش کتونی راد استور,45,33,73.33
دیاموند بوتیک,97,70,72.16
مک نیل,25,18,72.0
سی  اچ  آر  مد,303,218,71.95
بازرگانی مطمئن,39,28,71.79
خانه کیف,176,126,71.59
رهاگر,121,86,71.07
رویان شاپ,74,52,70.27
لوکس آویز ساعت,188,132,70.21
الوری,57,40,70.18
شال روسری رز,23,16,69.57
آلاماس,36,25,69.44
دانایان,26,18,69.23
توتال شوز,152,105,69.08
کفش پا تک,196,135,68.88
آرشام لیدر,25,17,68.0
سر و سامون,96,65,67.71
پامامد,101,68,67.33
پارسیان چارسو,203,136,67.0
 گالری اشرافی,27,18,66.67
کی اس کالکشن,21,14,66.67
برسا استور,72,48,66.67
مهرگاد,125,83,66.4
جاناگالری,163,108,66.26
ساعت کوک,38,25,65.79
پویان اسپرت,122,80,65.57
وگاس استور,29,19,65.52
پوشاک ورساز,23,15,65.22
ساریکو پلاس,20,13,65.0
پخش پارسان,94,61,64.89
کفش فطرس,34,22,64.71
سرو طلایی,50,32,64.0
فرسان واچ,25,16,64.0
اوپال اوپتیک,613,388,63.3
کفش امیتیس,133,84,63.16
بازرگانی اندیشه نو,38,24,63.16
کیف و چمدان هدیه,27,17,62.96
مانا مینی مارکت,27,17,62.96
رویال کلاب,27,17,62.96
اورجیمارک,113,71,62.83
بذر آذر سبزینه,78,49,62.82
تولید و پخش مادر,32,20,62.5
کیف من,98,61,62.24
شانی کو,471,290,61.57
بازرگانی بزرگ لوتوس,26,16,61.54
آتالانته,252,155,61.51
استار اسپرت تهران,64,39,60.94
پخش ولیعصر,430,259,60.23
دی تهران جی,25,15,60.0
گالری آبراهام,25,15,60.0
کفش لمور,20,12,60.0
کیف آژند,55,33,60.0
بیتامد,161,96,59.63
دنیای پیلاتس,49,29,59.18
گالری کابل,164,97,59.15
گالری برج خلیفه,41,24,58.54
آیرانرکو,24,14,58.33
شمسین گالری,315,183,58.1
کامجو,47,27,57.45
دیریم,89,51,57.3
تنیس اسپورت,21,12,57.14
تنیس اسپرت,35,20,57.14
پاپیلون دستسازه,280,160,57.14
بازارکده شماره سوم,91,52,57.14
پاشاکالام,123,70,56.91
آریا مهر,306,172,56.21
شمسان گالری  ,84,47,55.95
فروشگاه آرکوشپ,633,353,55.77
بازار کیف,420,234,55.71
آرکا پخش,242,134,55.37
فروشگاه عینک کالاچیو,268,148,55.22
کفش ایران اسکارپا,40,22,55.0
سکرت شاپ,235,128,54.47
اپتیک مدرن ,46,25,54.35
زولا مارکت,37,20,54.05
گالری کفش تک اسپرت,43,23,53.49
فرمیک,30,16,53.33
گالری فیاض,21,11,52.38
کیف نادر,21,11,52.38
فرندزاسپرت,23,12,52.17
ارسس صنعت,102,53,51.96
سیتی نایس,79,41,51.9
سارزی,79,41,51.9
جوگو,27,14,51.85
گالری رویال واچ,33,17,51.52
آورنگ,33,17,51.52
تریکو تندیس ,80,41,51.25
شنا لند,41,21,51.22
سانا کفش,41,21,51.22
ورزشی کاریزما,175,89,50.86
کیفانی چرم,59,30,50.85
آریان پخش,127,64,50.39
فروشگاه کیف نت,22,11,50.0
گیفتسو,98,49,50.0
چرم پا آرا,75,37,49.33
پیناکل مارکت,49,24,48.98
بیتی کالکشن,45,22,48.89
مولتی برند سوفیا,33,16,48.48
حسنالی,52,25,48.08
نیوساید,25,12,48.0
کیف و کفش الینور,23,11,47.83
کفش کودکانه,74,35,47.3
سعیدی کفش,144,68,47.22
آبگینولد,30,14,46.67
به تک مارکت,103,48,46.6
کیمیا کو,112,52,46.43
پخش پرسپولیس,137,63,45.99
بادیزن,35,16,45.71
کفش ابتهاج,289,132,45.67
فیت پلاس ,57,26,45.61
واچ سنتر,33,15,45.45
کیش الیت,22,10,45.45
زيپ,22,10,45.45
گالری نویان,280,127,45.36
فرسین,40,18,45.0
دناپارس,20,9,45.0
بازرگانی پرشین گستر,107,48,44.86
تامین کالای لوتوس,107,48,44.86
جهان مال,473,212,44.82
زلال سازان مهر ایران,72,32,44.44
کفش ارسی من,36,16,44.44
پروا کالا,129,57,44.19
بی ام زون,25,11,44.0
ملکه رویاها,25,11,44.0
لیا لیا,25,11,44.0
الباخ,66,29,43.94
کومو,55,24,43.64
پخش اپتیک سلطان,445,194,43.6
تمام چرم پلاس,46,20,43.48
کیفیت ممتاز,46,20,43.48
مام استور,208,90,43.27
کفش پایاپوش,21,9,42.86
مادیتا,99,42,42.42
ساعت سنتر ارغا,33,14,42.42
 پخش سرخابی,33,14,42.42
الانه گستر,26,11,42.31
اسدی استور,81,34,41.98
ملل مارکت,93,39,41.94
فروشگاه رجا,115,48,41.74
ناز نارین,157,65,41.4
تیکو گالری,100,41,41.0
بالوی,27,11,40.74
کفش کودک پونی,27,11,40.74
مگا فیتنس,27,11,40.74
نگین مال,167,68,40.72
کیف و کفش حمید,37,15,40.54
سریرکالا,42,17,40.48
گالری اپیکور ,47,19,40.43
نوین مال,47,19,40.43
مهدخت توس,221,89,40.27
لاماسو بازار,77,31,40.26
بازار تخفیف,85,34,40.0
سوریم,159,63,39.62
گالری گلد,23,9,39.13
دونیک اسپرت,46,18,39.13
پسرک لباس فروش,196,76,38.78
کیف و کفش نورا,31,12,38.71
پوشاک دامون من,75,29,38.67
دیجیسل,140,54,38.57
گنجینه دانش,65,25,38.46
کاماگالری,34,13,38.24
تولیدی محمدرضا,21,8,38.1
راک استار گیم,50,19,38.0
راه سلامتی,29,11,37.93
پوشاک جین ایران ,161,61,37.89
گلدنی,45,17,37.78
گالری ساعت جوان,85,32,37.65
گلسا کالکشن,96,36,37.5
بامی نامی,240,90,37.5
