id,title_fa,product_rate,comment_count,not_recommended_count,not_recommended_percent
934908,مجموعه 2 پکیج آموزش تصویری آهنگ سازی با نرم افزار های FL STUDIO و CUBASE نشر پدیده,42,16,14,87.5
4023565,رول ضد تعریق مردانه نیوآ مدل Black &amp; White Invisible حجم 50 میلی لیتر,62,23,17,73.91
4173119,کفش طبی مردانه ایران پا مدل 202 P,44,34,25,73.53
7954321,ست مانیکور کیو وای اچ مدل 9-PCS مجموعه 9 عددی,40,18,13,72.22
4652715,ست تی شرت و شلوار پسرانه مدل SH01,42,17,12,70.59
1971274,تی شرت آستین کوتاه مردانه کد 34280,54,20,14,70.0
6017472,شورت مردانه مدل NAK 1,56,16,11,68.75
1441372,اسپری موبر بدن دپی مدل Fast حجم 60 میلی لیتر ,54,27,18,66.67
2248896,لباس خواب زنانه اسمارا کد N-V43,54,40,26,65.0
3285722,روبدوشامبر زنانه اسمارا کد WEC3,62,20,13,65.0
4998263,شابلون خط چشم مدل 12 ,64,20,13,65.0
389373,تی شرت آستین کوتاه مردانه مدل Star,52,17,11,64.71
1142613,تی شرت مردانه به رسم طرح ناسا کد385,60,17,11,64.71
2770663,شامپو رنگ مو فارا شماره 531 حجم 135 میلی لیتر رنگ پلاتینیوم بلوند,56,22,14,63.64
575274,تیشرت آستین کوتاه شین دیزاین طرح سیمپسون کد 4363,58,16,10,62.5
3909311,دستگاه بخور و رطوبت ساز سرد مدل KJR-010,48,16,10,62.5
4819519,دستمال سر و گردن مدل ترمه,62,16,10,62.5
2626123,تیشرت آستین کوتاه مردانه طرح نشنال جغرافی کد KT0213,52,34,21,61.76
4541369,تیشرت آستین کوتاه مردانه مدل PP کد 02 رنگ مشکی,54,18,11,61.11
638036,تیشرت آستین کوتاه الینور طرح هارلی دیویدسون مدل ELTM 365,50,15,9,60.0
