category1,avg_price,product_count,not_recommended_percent
کنسول خانگی,246065643,44,5.76
سازهای صفحه کلیددار,71521012,158,4.86
سازهای زهی,45381838,304,10.87
لوازم جانبی کنسول بازی,41965543,136,9.43
ویلچر,40935652,28,10.66
سازهای کوبه‌ای,37522418,143,10.68
لوازم پزشکی,37163576,13,11.67
تشک مواج,33097543,10,4.56
حمام آلتراسونیک,32245867,10,17.36
اصلاح موی بدن بانوان,24227912,238,9.27
اصلاح موی بدن آقایان,22190672,49,8.97
اصلاح موی صورت,21235322,725,9.78
بازی های کنسول خانگی,16693342,60,3.34
فشارسنج,16029553,217,5.25
سلامت محیط,15992087,2023,8.22
سازهای بادی,13818196,111,7.66
تشک و پتوی برقی,13245793,72,13.95
سشوار,12935732,537,6.81
موکت,12427493,42,8.31
تب سنج و دماسنج,12200650,37,5.59
نمایشگر ضربان قلب,11836556,45,10.85
تجهیزات استودیویی,10518668,759,10.78
دستگاه بخور و رطوبت ساز,10338236,340,12.92
زیورآلات طلا مردانه,10134866,116,11.07
اصلاح موی سر,10132290,482,10.46
اتو و حالت دهنده ی مو,9559522,542,8.09
فرش,9448489,1322,7.69
زیورآلات طلا بچگانه,9191648,44,3.1
تابلو فرش,9184210,700,12.2
بیگودی و فر کننده ی مو,8682272,161,8.06
عطر و ادکلن زنانه,8033572,2053,12.95
ابزار مراقبت از پوست,6878582,323,9.46
عطر و ادکلن مردانه,6841148,2633,16.02
ماساژور,6352189,735,10.49
ترازو,6219766,226,8.66
روفرشی و پشتی,5686799,306,6.7
تست قند خون,5632481,31,5.81
کفش مردانه,5349393,7583,11.22
کالای خواب و استراحت طبی,5318154,535,10.54
لوازم جانبی آلات موسیقی,4746820,1696,10.93
اکسسوری مردانه,4351894,9418,10.47
کفش زنانه,4331873,94,11.94
اصلاح موی گوش، بینی و ابرو,3877585,127,12.72
گلیم و گبه,3780653,174,7.13
ست عطر و ادکلن,3683910,83,14.44
عطر و ادکلن مردانه و زنانه,3281247,251,12.61
ابزار توانمند سازی,3082025,169,8.65
تجهیزات دندانپزشکی,2784999,169,19.82
مکمل تجهیزات پزشکی,2619666,347,9.82
کوه‌ نوردی و صخره نوردی,2491641,994,9.22
ساپورت های طبی,2445308,1261,11.17
حقوق و مدیریت,2301888,18,26.98
سازهای افکت,2285698,26,17.36
اکسسوری زنانه,2187577,4149,9.3
لوازم جانبی تست قند خون,2183296,73,2.82
ابزار دستی,2155306,188,9.91
نرم افزار,2139135,511,13.78
لباس مردانه,2020927,19653,13.67
آموزش زبان,1929563,123,10.84
سمعک و لوازم جانبی,1892908,16,5.18
اکسسوری زنانه و مردانه,1825237,16783,10.27
کفش زنانه و مردانه,1751039,2094,8.36
آموزش موسیقی,1711898,115,16.51
فرهنگ، هنر و فلسفه,1546737,55,20.42
سوند و کتترهای ادراری,1520774,29,11.29
مراقبت پوست,1496553,8516,6.09
کنسرت,1491314,25,3.21
پد و کیسه آب گرم,1457168,244,9.69
کمک آموزشی تحصیلی,1364528,178,11.48
آموزش نرم‌افزار و کامپیوتر,1347948,453,17.16
پسرانه,1298022,6004,9.82
بادی اسپلش,1294942,839,11.4
شامپو و مراقبت مو,1242774,5144,6.82
سریال,1183885,198,8.01
مد و پوشاک دخترانه و پسرانه,1180916,3837,11.05
ضد تعریق,1165123,1192,9.32
کتاب درسی، کمک‌درسی و آزمون,1163118,2516,2.51
ورزش و سرگرمی,1159375,44,25.74
دستکش‌های طبی,1158029,144,4.74
لوازم سفر,1149044,753,8.3
تجهیزات بیمارستانی,1146550,846,8.64
زیراندازهای طبی و پزشکی,1110382,91,6.3
کتاب تاریخ و جغرافیا,1081768,1335,2.83
لوازم کمپینگ,1081491,2983,8.93
موسیقی بی‌کلام,1075507,325,5.8
موسیقی با کلام,1060503,546,4.38
نوزاد,1052621,4380,7.05
کتاب زبان,1042934,1983,2.93
کتاب علوم کاربردی، تکنولوژی و مهندسی,1036011,1818,5.29
کتاب چاپی غیر فارسی,1035338,3496,4.49
عطر جیبی,1026066,2469,12.09
کتاب هنر و سرگرمی,1025244,2959,3.52
آرایش صورت,1013884,1304,8.24
کتاب شعر و ادبیات,990111,11839,2.82
کتاب فلسفه و روانشناسی,981073,6280,3.05
کتاب زندگینامه و دایره المعارف,955135,1134,2.6
عطر و ادکلن کودکان,942682,108,6.02
آرایش چشم,935592,1188,11.92
کتاب علوم اجتماعی,931194,3640,3.33
آرایش لب,916394,2112,8.86
حمام کودک و شست و شو,916185,882,4.95
مواد غذایی,912805,4219,7.07
دخترانه,906963,9568,9.4
لوازم اصلاح مو,904388,1837,7.83
کتاب دینی,893817,1632,3.11
لوازم تعویض,877046,958,4.73
البسه طبی و پزشکی,846764,179,9.84
بهداشت دهان و دندان,825329,2066,7.22
ورزش های هوازی و تناسب اندام,817617,294,10.59
اسپری,813173,1583,7.52
بهداشت و مراقبت بدن,804283,2468,5.06
بهداشت و سلامت کودک,799000,277,9.22
مجلات,786455,486,4.2
بهداشت زنان,784201,697,3.78
مستند,774069,24,9.3
غیر خوراکی,773524,67,7.59
لوازم ماهیگیری,736992,365,7.8
کتاب کودک و نوجوان,725880,9993,2.22
تزریقات,706455,21,10.08
ابزار مراقبت پا,704426,986,11.69
لباس زنانه,702073,7943,13.28
باند و گاز,697757,194,5.92
صابون شستشو,684186,920,4.79
لوازم جانبی ساعت و مچ بند هوشمند,644776,1598,16.3
آرایش ابرو,639180,615,10.33
آرایش مو,600862,7803,5.44
چسب و پد درمانی,597344,424,8.84
